"","Freq","Rel.Freq"
"mangrove",558,63.9175257731959
"soil",289,33.1042382588774
"isolated",177,20.2749140893471
"sp",162,18.5567010309278
"nov",103,11.7983963344788
"microbial",81,9.27835051546392
"rhizosphere",76,8.70561282932417
"bacterial",75,8.59106529209622
"streptomyces",74,8.47651775486827
"diversity",72,8.24742268041237
"bacteria",66,7.56013745704467
"soils",66,7.56013745704467
"community",61,6.98739977090493
"sediments",60,6.87285223367698
"characterization",57,6.52920962199313
"novel",53,6.07101947308133
"sediment",53,6.07101947308133
"mangroves",52,5.95647193585338
"communities",51,5.84192439862543
"india",51,5.84192439862543
"forest",50,5.72737686139748
"potential",49,5.61282932416953
"activity",48,5.49828178694158
"bacillus",41,4.69644902634593
"plant",40,4.58190148911798
"production",40,4.58190148911798
"derived",39,4.46735395189003
"marine",38,4.35280641466208
"ecosystem",37,4.23825887743414
"isolation",37,4.23825887743414
"fungi",34,3.89461626575029
"species",34,3.89461626575029
"strain",33,3.78006872852234
"effects",30,3.43642611683849
"tropical",30,3.43642611683849
"avicennia",29,3.32187857961054
"fungus",29,3.32187857961054
"carbon",26,2.97823596792669
"china",26,2.97823596792669
"oil",25,2.86368843069874
"producing",25,2.86368843069874
"wetland",25,2.86368843069874
"associated",24,2.74914089347079
"contaminated",24,2.74914089347079
"nitrogen",24,2.74914089347079
"structure",24,2.74914089347079
"mycorrhizal",23,2.63459335624284
"actinobacterium",22,2.52004581901489
"arbuscular",22,2.52004581901489
"fungal",22,2.52004581901489
"growth",22,2.52004581901489
"analysis",21,2.40549828178694
"antimicrobial",21,2.40549828178694
"evaluation",21,2.40549828178694
"molecular",21,2.40549828178694
"aspergillus",20,2.29095074455899
"distribution",20,2.29095074455899
"genome",20,2.29095074455899
"kandelia",20,2.29095074455899
"mangrovi",20,2.29095074455899
"organic",20,2.29095074455899
"screening",20,2.29095074455899
"actinomycetes",19,2.17640320733104
"activities",19,2.17640320733104
"coastal",19,2.17640320733104
"forests",19,2.17640320733104
"metagenomic",19,2.17640320733104
"penicillium",19,2.17640320733104
"1",18,2.06185567010309
"coast",18,2.06185567010309
"composition",18,2.06185567010309
"degradation",18,2.06185567010309
"degrading",18,2.06185567010309
"gene",18,2.06185567010309
"phosphate",18,2.06185567010309
"properties",18,2.06185567010309
"functional",17,1.94730813287514
"identification",17,1.94730813287514
"malaysia",17,1.94730813287514
"wetlands",17,1.94730813287514
"assessment",16,1.83276059564719
"bacterium",16,1.83276059564719
"estuary",16,1.83276059564719
"heavy",16,1.83276059564719
"invasion",16,1.83276059564719
"rhizophora",16,1.83276059564719
"role",16,1.83276059564719
"based",15,1.71821305841924
"ecosystems",15,1.71821305841924
"marina",15,1.71821305841924
"optimization",15,1.71821305841924
"root",15,1.71821305841924
"alterniflora",14,1.60366552119129
"biodegradation",14,1.60366552119129
"oxidizing",14,1.60366552119129
"spartina",14,1.60366552119129
"actinobacteria",13,1.48911798396334
"actinomycete",13,1.48911798396334
"anti",13,1.48911798396334
"bioremediation",13,1.48911798396334
"de",13,1.48911798396334
"dynamics",13,1.48911798396334
"environmental",13,1.48911798396334
"micromonospora",13,1.48911798396334
"produced",13,1.48911798396334
"salt",13,1.48911798396334
"sequence",13,1.48911798396334
"south",13,1.48911798396334
"subtropical",13,1.48911798396334
"sundarbans",13,1.48911798396334
"thailand",13,1.48911798396334
"brazil",12,1.3745704467354
"east",12,1.3745704467354
"fermentation",12,1.3745704467354
"iron",12,1.3745704467354
"island",12,1.3745704467354
"metal",12,1.3745704467354
"microbiome",12,1.3745704467354
"natural",12,1.3745704467354
"obovata",12,1.3745704467354
"phylogenetic",12,1.3745704467354
"plants",12,1.3745704467354
"river",12,1.3745704467354
"seasonal",12,1.3745704467354
"three",12,1.3745704467354
"west",12,1.3745704467354
"acid",11,1.26002290950745
"antibacterial",11,1.26002290950745
"archaeal",11,1.26002290950745
"bioactive",11,1.26002290950745
"brazilian",11,1.26002290950745
"chemical",11,1.26002290950745
