"","Freq","Rel.Freq"
"mangrove",791,90.6071019473081
"soil",653,74.7995418098511
"study",453,51.8900343642612
"isolated",393,45.0171821305842
"analysis",336,38.4879725085911
"1",327,37.4570446735395
"species",313,35.8533791523482
"0",307,35.1660939289805
"2",295,33.7915234822451
"bacteria",282,32.3024054982818
"5",264,30.2405498281787
"3",262,30.0114547537228
"bacterial",254,29.0950744558992
"activity",247,28.2932416953035
"microbial",246,28.1786941580756
"potential",240,27.4914089347079
"4",239,27.37686139748
"strain",237,27.1477663230241
"16s",236,27.0332187857961
"gene",235,26.9186712485682
"high",233,26.6895761741123
"based",227,26.0022909507446
"identified",222,25.4295532646048
"7",220,25.2004581901489
"sp",210,24.0549828178694
"rrna",209,23.9404352806415
"6",203,23.2531500572738
"novel",198,22.680412371134
"total",198,22.680412371134
"samples",197,22.5658648339061
"carbon",196,22.4513172966781
"soils",192,21.9931271477663
"mangroves",191,21.8785796105384
"ph",185,21.1912943871707
"three",184,21.0767468499427
"revealed",175,20.0458190148912
"higher",170,19.4730813287514
"10",169,19.3585337915235
"sequence",169,19.3585337915235
"9",168,19.2439862542955
"community",168,19.2439862542955
"content",167,19.1294387170676
"diversity",167,19.1294387170676
"genus",164,18.7857961053837
"strains",164,18.7857961053837
"sediment",163,18.6712485681558
"growth",162,18.5567010309278
"rhizosphere",162,18.5567010309278
"collected",161,18.4421534936999
"organic",161,18.4421534936999
"8",156,17.8694158075601
"communities",153,17.5257731958763
"ecosystems",152,17.4112256586483
"acid",151,17.2966781214204
"ecosystem",151,17.2966781214204
"elsevier",150,17.1821305841924
"phylogenetic",148,16.9530355097365
"isolates",144,16.4948453608247
"type",144,16.4948453608247
"forest",143,16.3802978235968
"nitrogen",142,16.2657502863688
"highest",141,16.1512027491409
"indicated",141,16.1512027491409
"well",139,15.922107674685
"major",135,15.4639175257732
"data",134,15.3493699885452
"plant",133,15.2348224513173
"production",133,15.2348224513173
"sediments",133,15.2348224513173
"compared",132,15.1202749140893
"dna",131,15.0057273768614
"environmental",128,14.6620847651775
"observed",128,14.6620847651775
"activities",127,14.5475372279496
"fungi",127,14.5475372279496
"conditions",122,13.9747995418099
"characteristics",121,13.8602520045819
"springer",121,13.8602520045819
"exhibited",120,13.745704467354
