"","Freq","Rel.Freq"
"mangrove",20,15.748031496063
"bioremediation",18,14.1732283464567
"biodegradation",16,12.5984251968504
"mangroves",10,7.8740157480315
"mangrove soil",6,4.7244094488189
"phytoremediation",5,3.93700787401575
"polycyclic aromatic hydrocarbons",5,3.93700787401575
"bacteria",4,3.1496062992126
"biofilm",4,3.1496062992126
"biosurfactant",4,3.1496062992126
"rhizosphere",4,3.1496062992126
"spartina alterniflora",4,3.1496062992126
"16s rrna",3,2.36220472440945
"avicennia marina",3,2.36220472440945
"bioaugmentation",3,2.36220472440945
"degradation",3,2.36220472440945
"heavy metals",3,2.36220472440945
"hydrocarbons",3,2.36220472440945
"kandelia candel",3,2.36220472440945
"mangrove restoration",3,2.36220472440945
"metagenomics",3,2.36220472440945
"microbial community",3,2.36220472440945
"pahs",3,2.36220472440945
"pollution",3,2.36220472440945
"remediation",3,2.36220472440945
"rhizoremediation",3,2.36220472440945
"accumulation",2,1.5748031496063
"adsorption",2,1.5748031496063
"anaerobic degradation",2,1.5748031496063
"avicennia",2,1.5748031496063
"biosorption",2,1.5748031496063
"blue carbon",2,1.5748031496063
"community assembly",2,1.5748031496063
"contamination",2,1.5748031496063
"decolorization",2,1.5748031496063
"di-n-butyl phthalate",2,1.5748031496063
"endophytic fungi",2,1.5748031496063
"extracellular polymeric substances",2,1.5748031496063
"heavy metal",2,1.5748031496063
"isolation",2,1.5748031496063
"kinetics",2,1.5748031496063
"klebsiella pneumoniae",2,1.5748031496063
"mangrove swamps",2,1.5748031496063
"mangrove wetland",2,1.5748031496063
"mangrove wetlands",2,1.5748031496063
"microbial degradation",2,1.5748031496063
"microbial diversity",2,1.5748031496063
"microbiome",2,1.5748031496063
"microorganisms",2,1.5748031496063
"natural attenuation",2,1.5748031496063
"niger delta",2,1.5748031496063
"oil",2,1.5748031496063
"oil spills",2,1.5748031496063
"polycyclic aromatic hydrocarbons (pahs)",2,1.5748031496063
"pyrene",2,1.5748031496063
"rhizospheric soil",2,1.5748031496063
"salinity",2,1.5748031496063
"soil microbial community",2,1.5748031496063
"toxicity",2,1.5748031496063
"wetlands",2,1.5748031496063
"<sup>13</sup>                             c-acetate",1,0.78740157480315
"<sup>210</sup>pb dating",1,0.78740157480315
"16s rdna gene",1,0.78740157480315
"16s rdna sequence",1,0.78740157480315
"16s rna",1,0.78740157480315
"18 rrna gene",1,0.78740157480315
"acaulospora",1,0.78740157480315
"achromobacter species",1,0.78740157480315
"acid sulfate soil",1,0.78740157480315
"actinobacteria",1,0.78740157480315
"actinomycal consortia",1,0.78740157480315
"active archaeal community",1,0.78740157480315
"aegiceras corniculatum",1,0.78740157480315
"agro-industrial waste",1,0.78740157480315
"ammonium-n",1,0.78740157480315
"amplicon sequence variants",1,0.78740157480315
"anionic emulsifier",1,0.78740157480315
"anthropogenic activity",1,0.78740157480315
"anti-scouribility",1,0.78740157480315
"antifouling",1,0.78740157480315
"antimicrobial",1,0.78740157480315
"antioxidant activities",1,0.78740157480315
"aquatic macrophyte",1,0.78740157480315
"args",1,0.78740157480315
"arsenic resistance",1,0.78740157480315
"ascomycota",1,0.78740157480315
"associated species",1,0.78740157480315
"avicennia schaueriana l.",1,0.78740157480315
"azo dyes",1,0.78740157480315
"azospirillum",1,0.78740157480315
"azotobacter",1,0.78740157480315
"b. amyloliquefaciens",1,0.78740157480315
