"","Freq","Rel.Freq"
"mangrove",152,17.4112256586483
"mangroves",70,8.01832760595647
"mangrove soil",37,4.23825887743414
"16s rrna",29,3.32187857961054
"polyphasic taxonomy",25,2.86368843069874
"actinobacteria",22,2.52004581901489
"biodegradation",21,2.40549828178694
"diversity",19,2.17640320733104
"bioremediation",18,2.06185567010309
"mangrove ecosystem",18,2.06185567010309
"streptomyces",18,2.06185567010309
"fungi",17,1.94730813287514
"metagenomics",16,1.83276059564719
"rhizosphere",16,1.83276059564719
"salinity",16,1.83276059564719
"actinomycetes",15,1.71821305841924
"mangrove wetland",14,1.60366552119129
"microbial community",14,1.60366552119129
"rhizosphere soil",14,1.60366552119129
"bacteria",13,1.48911798396334
"antioxidant",12,1.3745704467354
"mangrove forest",12,1.3745704467354
"soil",12,1.3745704467354
"spartina alterniflora",12,1.3745704467354
"avicennia marina",11,1.26002290950745
"bacillus",11,1.26002290950745
"bacterial diversity",11,1.26002290950745
"phylogeny",11,1.26002290950745
"secondary metabolites",11,1.26002290950745
"microbial diversity",10,1.1454753722795
"sediments",10,1.1454753722795
"16s rrna gene",9,1.03092783505155
"arbuscular mycorrhizal fungi",9,1.03092783505155
"heavy metals",9,1.03092783505155
"antimicrobial activity",8,0.916380297823597
"microbiome",8,0.916380297823597
"polycyclic aromatic hydrocarbons",8,0.916380297823597
"avicennia germinans",7,0.801832760595647
"bioactive metabolites",7,0.801832760595647
"biodiversity",7,0.801832760595647
"blue carbon",7,0.801832760595647
"coastal wetlands",7,0.801832760595647
"degradation",7,0.801832760595647
"diazotrophs",7,0.801832760595647
"enzymes",7,0.801832760595647
"kandelia candel",7,0.801832760595647
"mangrove sediment",7,0.801832760595647
"mangrove sediments",7,0.801832760595647
"metagenome",7,0.801832760595647
"nitrogen fixation",7,0.801832760595647
"nutrients",7,0.801832760595647
"wetlands",7,0.801832760595647
"biosurfactant",6,0.687285223367698
"community structure",6,0.687285223367698
"denitrification",6,0.687285223367698
"ecology",6,0.687285223367698
"environment",6,0.687285223367698
"halophilic bacteria",6,0.687285223367698
"metagenomic library",6,0.687285223367698
"methane",6,0.687285223367698
"microorganisms",6,0.687285223367698
"organic matter",6,0.687285223367698
"phosphorus",6,0.687285223367698
"rhizophora",6,0.687285223367698
"rhizophora mangle",6,0.687285223367698
"rhizospheric soil",6,0.687285223367698
"solid state fermentation",6,0.687285223367698
"sundarbans",6,0.687285223367698
"antibacterial",5,0.572737686139748
"antibacterial activity",5,0.572737686139748
