"","Freq","Rel.Freq"
"mangrove",30,62.5
"article",18,37.5
"nonhuman",18,37.5
"wetland",18,37.5
"carbon",17,35.4166666666667
"climate change",17,35.4166666666667
"microbial community",17,35.4166666666667
"soils",17,35.4166666666667
"wetlands",16,33.3333333333333
"forestry",15,31.25
"soil",15,31.25
"carbon sequestration",14,29.1666666666667
"soil microorganism",14,29.1666666666667
"soil carbon",13,27.0833333333333
"controlled study",12,25
"organic carbon",12,25
"ecosystems",11,22.9166666666667
"rhizophoraceae",11,22.9166666666667
"bacterium",10,20.8333333333333
"microbial activity",10,20.8333333333333
"china",9,18.75
"ecosystem",9,18.75
"proteobacteria",9,18.75
"decomposition",8,16.6666666666667
"microbial diversity",8,16.6666666666667
"microflora",8,16.6666666666667
"enzyme activity",7,14.5833333333333
"microbiology",7,14.5833333333333
"microbiota",7,14.5833333333333
"microorganisms",7,14.5833333333333
"nitrogen",7,14.5833333333333
"saltmarsh",7,14.5833333333333
"soil organic matter",7,14.5833333333333
"biogeochemistry",6,12.5
"chemistry",6,12.5
"metabolism",6,12.5
"metagenomics",6,12.5
"microbiome",6,12.5
"organic matter",6,12.5
"priority journal",6,12.5
"soil microflora",6,12.5
"bacteria (microorganisms)",5,10.4166666666667
"bacteroidetes",5,10.4166666666667
"carbon dioxide",5,10.4166666666667
"community structure",5,10.4166666666667
"environmental monitoring",5,10.4166666666667
"fungi",5,10.4166666666667
"greenhouse gases",5,10.4166666666667
"mangrove forest",5,10.4166666666667
"salinity",5,10.4166666666667
"soil microbiology",5,10.4166666666667
"spartina alterniflora",5,10.4166666666667
"actinobacteria",4,8.33333333333333
"archaeon",4,8.33333333333333
"bacillus",4,8.33333333333333
"bacteria",4,8.33333333333333
"biomass",4,8.33333333333333
"carbon emission",4,8.33333333333333
"coastal wetland",4,8.33333333333333
"dna extraction",4,8.33333333333333
"environmental factor",4,8.33333333333333
"forest",4,8.33333333333333
"india",4,8.33333333333333
"kandelia obovata",4,8.33333333333333
"land use",4,8.33333333333333
"nutrients",4,8.33333333333333
"ph",4,8.33333333333333
"plants (botany)",4,8.33333333333333
"rhizosphere",4,8.33333333333333
"rna 16s",4,8.33333333333333
"sulfur",4,8.33333333333333
"abundance",3,6.25
"ammonia",3,6.25
"archaea",3,6.25
"australia",3,6.25
"chloroflexi",3,6.25
"coastal waters",3,6.25
"cyanobacterium",3,6.25
"eutrophication",3,6.25
"firmicutes",3,6.25
"forests",3,6.25
"gas emissions",3,6.25
"genes",3,6.25
"greenhouse gas",3,6.25
"lakes",3,6.25
"methane",3,6.25
"microbial biomass",3,6.25
"microbial communities",3,6.25
"nitrous oxide",3,6.25
"nutrient enrichment",3,6.25
"planctomycetes",3,6.25
"rna",3,6.25
"sea level",3,6.25
"sediment",3,6.25
"sediments",3,6.25
"spartina",3,6.25
"species richness",3,6.25
