"","totalArticles","totalCitations"
"INT. J. SYST. EVOL. MICROBIOL.",59,859
"SCI. TOTAL ENVIRON.",33,982
"FRONT. MICROBIOL.",23,732
"MAR. POLLUT. BULL.",23,503
"ANTONIE VAN LEEUWENHOEK INT. J. GEN. MOL. MICROBIOL.",17,381
"APPL. MICROBIOL. BIOTECHNOL.",17,752
"ARCH. MICROBIOL.",12,82
"BIODIVERSITAS",12,48
"CHEMOSPHERE",11,508
"CURR. MICROBIOL.",11,53
"SCI. REP.",11,419
"J. HAZARD. MATER.",9,383
"MAR. DRUGS",9,399
"J. PURE APPL. MICROBIOL.",8,19
"BIOCATAL. AGRIC. BIOTECHNOL.",7,86
"BRAZ. J. MICROBIOL.",7,84
"J. ENVIRON. MANAGE.",7,151
"J. NAT. PROD.",7,359
"MICROORG.",7,59
"ENVIRON. POLLUT.",6,222
"ESTUAR. COAST. SHELF SCI.",6,157
"J. ENVIRON. BIOL.",6,55
"NAT. PROD. RES.",6,57
"PLANT SOIL",6,181
"REV. BIOL. TROP.",6,262
"SOIL BIOL. BIOCHEM.",6,174
"APPL. ENVIRON. MICROBIOL.",5,442
"ASIAN J. PHARM. CLIN. RES.",5,9
"CAN. J. MICROBIOL.",5,221
"ECOTOXICOL. ENVIRON. SAF.",5,71
"FEMS MICROBIOL. ECOL.",5,274
"GENOME ANNOUNCE.",5,19
"GEODERMA",5,198
"GEOMICROBIOL. J.",5,40
"INT. BIODETERIOR. BIODEGRAD.",5,198
"J. ANTIBIOT.",5,55
"MICROB. ECOL.",5,61
"WORLD J. MICROBIOL. BIOTECHNOL.",5,56
"3 BIOTECH",4,122
"ANN. MICROBIOL.",4,128
"APPL. BIOCHEM. BIOTECHNOL.",4,75
"ASIAN J. MICROBIOL. BIOTECHNOL. ENVIRON. SCI.",4,10
"BIORESOUR. TECHNOL.",4,128
"CHIN. J. APP. EVIRON. BIOL.",4,10
"ENVIRON. SCI. POLLUT. RES.",4,41
"FORESTS",4,35
"GENOMICS DATA",4,84
"J. GEN. APPL. MICROBIOL.",4,89
"J. SOILS SED.",4,116
"MICROBIOL. SPECTR.",4,11
"PLOS ONE",4,382
"PROC. NATL. ACAD. SCI. INDIA SECT. B - BIOL. SCI.",4,46
"PROG. MICROBE. MOL. BIOL.",4,42
"SHENGTAI XUEBAO",4,16
"WEI SHENG WU XUE BAO",4,20
"WETLANDS ECOL. MANAGE.",4,58
"APPL. SOIL ECOL.",3,261
"CATENA",3,4
"CHEM. NAT. COMPD.",3,16
"CURR. SCI.",3,15
"ECOL. ENVIRON. CONSERV.",3,1
"ENVIRON. MICROBIOL.",3,122
"FEMS YEAST RES.",3,41
"FRONT. MAR. SCI.",3,2
"GENE",3,148
"GENET. MOL. RES.",3,47
"INDIAN J. GEO. MAR. SCI.",3,13
"INT. J. BIOL. MACROMOL.",3,29
"J. BASIC MICROBIOL.",3,17
"J. MICROBIOL.",3,146
"MALAYSIA. J. MICROBIOL.",3,69
"MAR. ECOL. PROG. SER.",3,213
"MICROBIOL RES.",3,73
"MICROBIOME",3,104
"MYCORRHIZA",3,127
"PAK. J. BOT.",3,12
"PEERJ",3,21
"REG. STUD. MAR. SCI.",3,12
"WATER AIR SOIL POLLUT.",3,24
"WETLANDS",3,130
"",2,NA
"ACTA OCEANOL. SIN.",2,17
"AQUATIC BOT.",2,231
"ASIAN J. AGRIC. BIOL.",2,0
"BIOGEOCHEMISTRY",2,118
"BIOL. FERTIL. SOILS",2,76
"BIOMED RES. INT.",2,63
"BIOTECHNOLOGIA",2,5
"BOT. MAR.",2,63
"BRAZ. J. BIOL.",2,15
"CHIN. PHARMACOL. BULL.",2,2
"ECOL. ENG.",2,47
"ECOL. INDIC.",2,46
"ENVIRON. MONIT. ASSESS.",2,35
"ENVIRONM. NAT. RESOUR. J.",2,4
"FRONT. PLANT SCI.",2,3
"FUNGAL ECOL.",2,84
"HUANJING KEXUE",2,0
"HUANJING KEXUE XUEBAO",2,3
"IND. J. NAT. PROD. RESOUR.",2,4
"INDIAN J. BIOCHEM. BIOPHYS.",2,9
"INT. J. ENVIRON. RES. PUBLIC HEALTH",2,43
"INT. J. ENVIRON. STUD.",2,6
"INT. J. PHARMA BIO SCI.",2,4
"INT. J. PHARMCY PHARM. SCI.",2,20
"INTL. J. PHARMA BIO SCI.",2,1
"J TROP FOREST SCI",2,4
"J. CHEM. PHARM. RES.",2,15
"J. ENVIRON. SCI.",2,44
"J. FISH. ENVIRON.",2,1
"J. FOR. RES.",2,39
"J. KING SAUD UNIV. SCI.",2,22
"JPN. AGRIC. RES. Q.",2,8
"LETT. APPL. MICROBIOL.",2,44
"MAGN. RESON. CHEM.",2,68
"MICRO. RES. ANN",2,2
"MICROB. PATHOG.",2,21
"MICROBES ENVIRON.",2,21
"MICROBIOLOGY",2,117
"MICROBIOLOGYOPEN",2,68
"MOLECULES",2,56
"OECOLOGIA",2,269
"PHILIPP. AGRIC. SCI.",2,1
"POLLUT. RES.",2,8
"RES. J. PHARM. TECHNOL.",2,4
"RES. MICROBIOL.",2,78
"SAINS MALAYS.",2,32
"SAUDI J. BIOL. SCI.",2,21
"SYST. APPL. MICROBIOL.",2,75
"TROP. ECOL.",2,3
"TROP. LIFE SCI. RES.",2,35
"TURK. J. BOT.",2,11
"WATER",2,5
"ACS CHEM. BIOL.",1,15
"ACTA BOT. BRAS.",1,0
"ACTA BOT. NEERL.",1,11
"ACTA ECOL. SIN.",1,5
"ACTA OECOL.",1,15
"ADV. ANIM. VET. SCI.",1,2
"AFR. J. BIOTECHNOL.",1,13
"AGRI GENE",1,27
"AGRIC. NAT. RESOUR.",1,1
"AM. J. ENVIRON. SCI.",1,12
"AMBIO",1,18
"ANAIS ACAD. BRAS. CIENC.",1,16
"ANAL. BIOANAL. CHEM.",1,23
"ANN. BIOL.",1,0
"ANN. BOT.",1,9
"ANTIBIOTICS",1,8
"ANTONIE VAN LEEUWENHOEK",1,17
"APPL. BIOCHEM. BIOTECHNOL. PART A ENZYME ENG. BIOTECHNOL.",1,6
"APPL. BIOTECHNOL. REPORT.",1,0
"APPL. GEOCHEM.",1,9
"APPL. SCI.",1,6
"AQUAC. ENG.",1,57
"AQUAC. RES.",1,22
"AQUACULTURE",1,5
"ARCH. PHARMACAL RES.",1,28
"ARCH. PHYTOPATHOL. PLANT PROT.",1,2
"ASIA-PAC. J. MOL. BIOL. BIOTECHNOL.",1,11
"ASIAN J. CHEM.",1,0
"ASIAN PAC. J. TROP. DIS.",1,0
"ATMOSPHERE",1,0
"AUST. J. BASIC APPL. SCI.",1,14
"AUST. J. ENTOMOL.",1,20
"AUSTRIAN J. EARTH SCI.",1,12
"BIOCATAL. BIOTRANSFORM.",1,24
"BIOCHEM. BIOPHYS. RES. COMMUN.",1,2
"BIODEGRADATION",1,5
"BIODIVERSITY CONSERV.",1,40
"BIOFUELS",1,15
"BIOL. CONTROL",1,36
"BIOLOGY",1,2
"BIOMEDICINE",1,8
"BIOMETALS",1,3
"BIOMOLECULES",1,8
"BIOORG. CHEM.",1,14
"BIOORG. MED. CHEM. LETT.",1,88
"BIOPROCESS BIOSYST. ENG.",1,19
"BIORESOUR.",1,20
"BIOTA NEOTROPICA",1,4
"BIOTECH. HISTOCHEM.",1,11
"BIOTECHNOL. BIOTECHNOL. EQUIP.",1,0
"BIOTECHNOL. PROG.",1,14
"BIOTECHNOL. REP.",1,14
"BIOTECHNOLOGY",1,0
"BIOTROPICA",1,69
"BMC GENOMICS",1,7
"BMC MICROBIOL.",1,49
"BOT. SCI.",1,4
"BOT. STUD.",1,12
"BRAS. J. PHARM. SCI.",1,3
"CAH. BIOL. MAR.",1,30
"CANCERS",1,19
"CARBOHYDR POLYM",1,17
"CATAL. TODAY",1,76
"CATALYSTS",1,10
"CHEM. BIODIVERSITY",1,4
"CHEM. ECOL.",1,29
"CHEM. ENG. J.",1,96
"CHEM. ENG. TRANS.",1,0
"CHEM. GEOL.",1,81
"CHEMISTRYSELECT",1,2
"CHIN. J. APPL. ECOL.",1,4
"CHIN. J. ORG. CHEM.",1,14
"CHIN. J. PHARM. BIOTECHNOL.",1,0
"CHINESE J. ECOL.",1,0
"CHIRALITY",1,17
"CRIT. REV. ENVIRON. SCI. TECHNOL.",1,13
"CURR. RES. MICROB. SCI.",1,1
"DER PHARM. LETT.",1,16
"DIS. AQUATIC ORG.",1,3
"DIVERSITY",1,41
"ECOL. APPL.",1,1
