"","Freq","Rel.Freq"
"mangrove",13,27.0833333333333
"blue carbon",7,14.5833333333333
"mangroves",6,12.5
"soil organic carbon",4,8.33333333333333
"coastal wetlands",3,6.25
"microbial communities",3,6.25
"microbiome",3,6.25
"soil",3,6.25
"spartina alterniflora",3,6.25
"16s amplicon sequencing",2,4.16666666666667
"assembly processes",2,4.16666666666667
"bacillus",2,4.16666666666667
"carbon sequestration",2,4.16666666666667
"climate change",2,4.16666666666667
"coastal ecosystems",2,4.16666666666667
"decomposition",2,4.16666666666667
"extracellular enzyme",2,4.16666666666667
"ghgs emissions",2,4.16666666666667
"glomalin-related soil protein",2,4.16666666666667
"mangrove wetland",2,4.16666666666667
"metagenomics",2,4.16666666666667
"microbial activity",2,4.16666666666667
"microbial community",2,4.16666666666667
"microorganisms",2,4.16666666666667
"rhizophora",2,4.16666666666667
"rhizosphere",2,4.16666666666667
"salinity",2,4.16666666666667
"saltmarsh",2,4.16666666666667
"sediments",2,4.16666666666667
"soc",2,4.16666666666667
"soil carbon",2,4.16666666666667
"soil carbon pools",2,4.16666666666667
"spartina alterniflora invasion",2,4.16666666666667
"sundarban-india",2,4.16666666666667
"____",1,2.08333333333333
"<sup>13</sup>                             c nmr",1,2.08333333333333
"<sup>210</sup>pb dating",1,2.08333333333333
"16s rrna",1,2.08333333333333
"16s rrna gene",1,2.08333333333333
"abundant bacteria",1,2.08333333333333
"allelopathy",1,2.08333333333333
"amazon",1,2.08333333333333
"amplicon sequence variants",1,2.08333333333333
"anoxic sediment",1,2.08333333333333
"arbuscular mycorrhizal fungi",1,2.08333333333333
"archaea",1,2.08333333333333
"args",1,2.08333333333333
"australia",1,2.08333333333333
"avicennia",1,2.08333333333333
"avicennia germinans",1,2.08333333333333
"avicennia marina",1,2.08333333333333
"bacteria",1,2.08333333333333
"bacterial communities",1,2.08333333333333
"bacterial community",1,2.08333333333333
"bacterial diversity",1,2.08333333333333
"bacterioplankton",1,2.08333333333333
"banana",1,2.08333333333333
"basal breathing",1,2.08333333333333
"biochar",1,2.08333333333333
"biogeochemical cycles",1,2.08333333333333
"biological invasion",1,2.08333333333333
"biological replacement",1,2.08333333333333
"biomarker ratios",1,2.08333333333333
"biotic resistance",1,2.08333333333333
"blue carbon ecosystem",1,2.08333333333333
"blue carbon ecosystems",1,2.08333333333333
"c sequestration",1,2.08333333333333
"c:n ratio",1,2.08333333333333
"calcium precipitation",1,2.08333333333333
"carbon cycling",1,2.08333333333333
"carbon decomposition",1,2.08333333333333
"carbon flow",1,2.08333333333333
"carbon quality-temperature theory",1,2.08333333333333
"carbonic anhydrase",1,2.08333333333333
"cazymes",1,2.08333333333333
"cdom",1,2.08333333333333
"chemical protection",1,2.08333333333333
"cns q-pcr chip",1,2.08333333333333
"co-occurrence network",1,2.08333333333333
"co<sub>2</sub>",1,2.08333333333333
"co<sub>2</sub> sequestration",1,2.08333333333333
"coastal ecosystem",1,2.08333333333333
"coastal vegetated ecosystems",1,2.08333333333333
"community assembly",1,2.08333333333333
"cooccurrence network",1,2.08333333333333
"coral microbiome",1,2.08333333333333
"dark septate endophyte fungi",1,2.08333333333333
"dehydrogenase",1,2.08333333333333
"differential nutrient limitation",1,2.08333333333333
"dissimilation of organic material",1,2.08333333333333
"ecosystem",1,2.08333333333333
"elevated co<sub>2</sub>",1,2.08333333333333
"endozoicomonas",1,2.08333333333333
"environmental factors",1,2.08333333333333
"enzymes",1,2.08333333333333
"enzymic latch",1,2.08333333333333
"estuary",1,2.08333333333333
"extracellular polymeric substances",1,2.08333333333333
"extreme environment",1,2.08333333333333
"fatty acids",1,2.08333333333333
"fertilisation",1,2.08333333333333
"fertilizer",1,2.08333333333333
"functional diversity",1,2.08333333333333
"functional plasticity",1,2.08333333333333
"functional redundancy of the soil microbiota",1,2.08333333333333
"fungal community",1,2.08333333333333
"fungal diversity",1,2.08333333333333
"global change ecology",1,2.08333333333333
"global warming potential (gwp)",1,2.08333333333333
"glomalin related soil protein (grsp)",1,2.08333333333333
"greenhouse gas emission",1,2.08333333333333
"greenhouse gases",1,2.08333333333333
"heavy metal pollution",1,2.08333333333333
"high throughput sequencing",1,2.08333333333333
"indicator analysis",1,2.08333333333333
"inundation frequency gradients",1,2.08333333333333
"invasion ecology",1,2.08333333333333
"isotope",1,2.08333333333333
"kandelia obovata",1,2.08333333333333
"keystone taxa",1,2.08333333333333
"krishna river delta",1,2.08333333333333
"labile",1,2.08333333333333
"land use change",1,2.08333333333333
"land-use change",1,2.08333333333333
"leaf litter decomposition",1,2.08333333333333
"mangrove coral",1,2.08333333333333
"mangrove ecosystem",1,2.08333333333333
"mangrove forest",1,2.08333333333333
"mangrove forests",1,2.08333333333333
"mangrove recovery",1,2.08333333333333
"mangrove sediments",1,2.08333333333333
"mangrove zonation",1,2.08333333333333
"methane",1,2.08333333333333
"methane oxidation",1,2.08333333333333
"methanogenesis",1,2.08333333333333
"methanogenic communities",1,2.08333333333333
"microbial abundance",1,2.08333333333333
"microbial analysis",1,2.08333333333333
"microbial elemental stoichiometry",1,2.08333333333333
"microbial functional groups",1,2.08333333333333
"microbial metabolism strategy",1,2.08333333333333
"microbial necromass",1,2.08333333333333
"microbial networks",1,2.08333333333333
"microbial respiration",1,2.08333333333333
"nanopore",1,2.08333333333333
"network co-occurrence analysis",1,2.08333333333333
"nitrogen mining",1,2.08333333333333
"nutrient acquisition",1,2.08333333333333
"nutrient addition",1,2.08333333333333
"nutrient availability",1,2.08333333333333
"nutrient cycling",1,2.08333333333333
"nutrient leaching",1,2.08333333333333
"organic carbon",1,2.08333333333333
"organic matter",1,2.08333333333333
"oxic/anoxic incubation",1,2.08333333333333
"particle size",1,2.08333333333333
"particulate organic carbon",1,2.08333333333333
"peat",1,2.08333333333333
"phosphatase",1,2.08333333333333
"phyllosphere",1,2.08333333333333
"physical protection",1,2.08333333333333
"plant biomass",1,2.08333333333333
"plant growth promoting bacteria (pgpb)",1,2.08333333333333
"plant invasion",1,2.08333333333333
"plant–soil (below-ground) interactions",1,2.08333333333333
"plant–soil feedbacks",1,2.08333333333333
"pocillopora acuta",1,2.08333333333333
"pore water",1,2.08333333333333
"potential denitrification",1,2.08333333333333
"prokaryotic community",1,2.08333333333333
"pseudomonas",1,2.08333333333333
"rare bacteria",1,2.08333333333333
"rda",1,2.08333333333333
"recalcitrant",1,2.08333333333333
"recalcitrant carbon",1,2.08333333333333
"red mangrove",1,2.08333333333333
"reduced oxygen",1,2.08333333333333
"rehabilitation",1,2.08333333333333
"rhizophora mangle",1,2.08333333333333
"rhizosphere microorganisms",1,2.08333333333333
"salt marshes",1,2.08333333333333
"saltmarshes",1,2.08333333333333
"sarcocornia quinqueflora",1,2.08333333333333
"saudi arabia",1,2.08333333333333
"seagrass",1,2.08333333333333
"sediment carbon",1,2.08333333333333
"shrimp farming",1,2.08333333333333
"shrimp pond",1,2.08333333333333
"sir",1,2.08333333333333
"soil co<sub>2</sub> emission",1,2.08333333333333
"soil microbial biomass carbon",1,2.08333333333333
"soil microbial community",1,2.08333333333333
"soil n                             <sub>2</sub>                             o emissions",1,2.08333333333333
"soil organic matter",1,2.08333333333333
"soil organic matter decomposition",1,2.08333333333333
"soil processes",1,2.08333333333333
"soil water dissolved carbon",1,2.08333333333333
"soils physicochemical analysis",1,2.08333333333333
"spores",1,2.08333333333333
"stable isotopes",1,2.08333333333333
