"","Freq","Rel.Freq"
"mangrove",82,64.5669291338583
"bioremediation",73,57.4803149606299
"article",69,54.3307086614173
"nonhuman",59,46.4566929133858
"bacterium",44,34.6456692913386
"biodegradation, environmental",43,33.8582677165354
"metabolism",42,33.0708661417323
"microbiology",42,33.0708661417323
"bacteria (microorganisms)",39,30.7086614173228
"bacteria",38,29.9212598425197
"controlled study",36,28.3464566929134
"biodegradation",33,25.9842519685039
"sediment",32,25.1968503937008
"soils",32,25.1968503937008
"microbial community",30,23.6220472440945
"rhizophoraceae",30,23.6220472440945
"soil",30,23.6220472440945
"soil microbiology",30,23.6220472440945
"rhizosphere",27,21.259842519685
"soil pollution",24,18.8976377952756
"chemistry",23,18.1102362204724
"wetland",23,18.1102362204724
"wetlands",23,18.1102362204724
"rna 16s",22,17.3228346456693
"genetics",21,16.5354330708661
"sediments",20,15.748031496063
"geologic sediments",19,14.9606299212598
"unclassified drug",16,12.5984251968504
"avicennia",15,11.8110236220472
"degradation",15,11.8110236220472
"ecosystem",15,11.8110236220472
"isolation and purification",15,11.8110236220472
"soil pollutants",15,11.8110236220472
"ecosystems",14,11.0236220472441
"microbial activity",14,11.0236220472441
"rna, ribosomal, 16s",14,11.0236220472441
"water pollutants, chemical",14,11.0236220472441
"microflora",13,10.2362204724409
"ph",13,10.2362204724409
"plants (botany)",13,10.2362204724409
"salinity",13,10.2362204724409
"soil pollutant",13,10.2362204724409
"avicennia marina",12,9.44881889763779
"bacterial strain",12,9.44881889763779
"bacteriology",12,9.44881889763779
"china",12,9.44881889763779
"microorganisms",12,9.44881889763779
"soil microflora",12,9.44881889763779
"biotechnology",11,8.66141732283465
"dna extraction",11,8.66141732283465
"microbiota",11,8.66141732283465
"pah",11,8.66141732283465
"petroleum",11,8.66141732283465
"phytoremediation",11,8.66141732283465
"sediment pollution",11,8.66141732283465
"water pollutant",11,8.66141732283465
"carbon",10,7.8740157480315
"concentration (composition)",10,7.8740157480315
"gene sequence",10,7.8740157480315
"hydrocarbons",10,7.8740157480315
"india",10,7.8740157480315
"metagenomics",10,7.8740157480315
"polycyclic aromatic hydrocarbon",10,7.8740157480315
"proteobacteria",10,7.8740157480315
"bacillus subtilis",9,7.08661417322835
"bacterium isolation",9,7.08661417322835
"biomass",9,7.08661417322835
"classification",9,7.08661417322835
"enzyme activity",9,7.08661417322835
"microbial diversity",9,7.08661417322835
"plant root",9,7.08661417322835
"plant roots",9,7.08661417322835
"pollutant removal",9,7.08661417322835
"polycyclic aromatic hydrocarbons",9,7.08661417322835
"bacterium isolate",8,6.2992125984252
"biochemistry",8,6.2992125984252
"biodiversity",8,6.2992125984252
"community structure",8,6.2992125984252
"ecosystem restoration",8,6.2992125984252
"fungi",8,6.2992125984252
"high throughput sequencing",8,6.2992125984252
"hydrocarbon",8,6.2992125984252
"mangrove sediments",8,6.2992125984252
"microbial communities",8,6.2992125984252
"nitrogen",8,6.2992125984252
"oil spill",8,6.2992125984252
